[13:22:24] Using the in-memory credential store as the operating system's credential store could not be accessed. Please see https://aka.ms/vscode-server-keyring on how to set this up. Details: libsecret-1.so.0: cannot open shared object file: No such file or directory
[13:30:21] [File Watcher (node.js)] Watcher shutdown because watched path got deleted
[2023-01-10T08:01:15.349Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:02:15.351Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:03:15.354Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:04:15.356Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:05:15.358Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:06:15.361Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:07:15.364Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:08:15.365Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:09:15.367Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:10:15.368Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:11:15.371Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:12:15.372Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:13:15.374Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:14:15.377Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:15:15.380Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:16:15.382Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:17:15.384Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:18:15.386Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:19:15.388Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:20:15.391Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:21:15.393Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:22:15.395Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:23:15.398Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:24:15.401Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:25:15.403Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:26:15.406Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:27:15.408Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:28:15.411Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:29:15.414Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:30:15.416Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:31:15.419Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:32:15.420Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:33:15.423Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:34:15.424Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:35:15.425Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:36:15.428Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:37:15.428Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:38:15.430Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:39:15.433Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:40:15.435Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:41:15.438Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:42:15.440Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:43:15.442Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:44:15.445Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:45:15.448Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:46:15.450Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:47:15.453Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:48:15.456Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:49:15.458Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:50:15.461Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:51:15.463Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:52:15.466Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:53:15.469Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:54:15.471Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:55:15.473Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:56:15.475Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:57:15.476Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:58:15.479Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T08:59:15.481Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:00:15.484Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:01:15.485Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:02:15.488Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:03:15.490Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:04:15.492Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:05:15.494Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:06:15.497Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
